基金代码,基金简称,类型,机构持有比例,个人持有比例,资产规模,原始摘要,小类,年化收益率,年化波动率,夏普比率,Beta,Alpha,数据起止,交易日数,计算状态
515250,富国中证智能汽车主题,指数型,57.98%,42.02%,6.80 亿,截至2025-06-30，富国中证智能汽车主题ETF 的基金机构持有4.30亿份，占总份额的57.98%，个人投资者持有3.11亿份，占总份额的42.02%,汽车,-0.005211817520980877,0.3084352893693016,-0.09795188346560141,1.171816674084346,0.13671670638245592,2021-01-11 至 2025-02-28,1000.0,成功
159656,万家沪深300成长E,指数型,46.16%,37.99%,2.42 亿,截至2025-06-30，万家沪深300成长ETF 的基金机构持有0.72亿份，占总份额的46.16%，个人投资者持有0.59亿份，占总份额的37.99%,沪深300,-0.09213176477855023,0.22623762859341728,-0.5177377676153663,1.1854890977864765,-0.05099455759794702,2023-01-17 至 2025-02-28,510.0,成功
520900,广发中证国新港股通央,指数型,87.34%,12.66%,19.44 亿,截至2025-06-30，广发中证国新港股通央企红利ETF 的基金机构持有17.64亿份，占总份额的87.34%，个人投资者持有2.56亿份，占总份额的12.66%,国央企,-0.10936038795956782,0.2305305991295574,-0.5828310361699869,0.5391880028346527,-0.1820230687726958,2024-07-11 至 2025-02-28,153.0,成功
512570,易方达中证全指证券公,指数型,86.90%,13.10%,22.94 亿,截至2025-06-30，易方达中证全指证券公司ETF 的基金机构持有9.60亿份，占总份额的86.90%，个人投资者持有1.45亿份，占总份额的13.10%,证券,0.014990909292930343,0.28995013785010504,-0.034520041208754446,1.0999077391369485,0.026752038685607715,2017-08-14 至 2025-02-28,1827.0,成功
159611,广发中证全指电力公用,指数型,69.43%,30.57%,36.90 亿,截至2025-06-30，广发中证全指电力公用事业ETF 的基金机构持有23.74亿份，占总份额的69.43%，个人投资者持有10.45亿份，占总份额的30.57%,电力,-0.0046240958878872584,0.20381471825988356,-0.14534816788900232,0.5955027308350265,0.04621107759241605,2022-01-10 至 2025-02-28,758.0,成功
513550,华泰柏瑞中证港股通5,指数型,80.23%,19.77%,26.80 亿,截至2025-06-30，华泰柏瑞中证港股通50ETF 的基金机构持有17.31亿份，占总份额的80.23%，个人投资者持有4.27亿份，占总份额的19.77%,宽基,-0.007594837049844094,0.23398785784828569,-0.13930140371205976,0.8569939623129124,0.08222367633723993,2021-01-14 至 2025-02-28,997.0,成功
159971,富国创业板ETF,指数型,90.21%,9.79%,20.80 亿,截至2025-06-30，富国创业板ETF 的基金机构持有14.92亿份，占总份额的90.21%，个人投资者持有1.62亿份，占总份额的9.79%,创业板,0.0627247721649209,0.2991981043294831,0.1260862673226619,1.308137446477543,0.08513438978045951,2019-07-03 至 2025-02-28,1370.0,成功
520660,南方中证国新港股通央,指数型,77.10%,18.63%,27.95 亿,截至2025-06-30，南方中证国新港股通央企红利ETF 的基金机构持有8.63亿份，占总份额的77.10%，个人投资者持有2.09亿份，占总份额的18.63%,国央企,-0.09695688988412365,0.22874109866324654,-0.5331656208562197,0.5373717690205876,-0.16620410280961917,2024-07-11 至 2025-02-28,153.0,成功
516660,华安中证新能源汽车E,指数型,63.36%,36.64%,2.94 亿,截至2025-06-30，华安中证新能源汽车ETF 的基金机构持有2.53亿份，占总份额的63.36%，个人投资者持有1.46亿份，占总份额的36.64%,汽车,-0.04646532004098991,0.3311877380876929,-0.21578492142745664,1.2554206256730867,0.10411681439409737,2021-03-01 至 2025-02-28,970.0,成功
159525,富国中证红利低波动E,指数型,60.37%,39.63%,3.39 亿,截至2025-06-30，富国中证红利低波动ETF 的基金机构持有1.37亿份，占总份额的60.37%，个人投资者持有0.90亿份，占总份额的39.63%,红利,-0.005240741544846106,0.1891202610249012,-0.15990217748728863,0.5940011244589224,-0.040779671735606815,2024-05-21 至 2025-02-28,189.0,成功
520990,景顺长城中证国新港股,指数型,83.48%,9.27%,56.81 亿,截至2025-06-30，景顺长城中证国新港股通央企红利ETF 的基金机构持有40.49亿份，占总份额的83.48%，个人投资者持有4.50亿份，占总份额的9.27%,国央企,-0.07785068459285849,0.22715710094521044,-0.45277336330183987,0.513344512701932,-0.15413044891154515,2024-07-11 至 2025-02-28,153.0,成功
510900,易方达恒生国企(QD,指数型,72.14%,27.86%,78.70 亿,截至2025-06-30，易方达恒生国企(QDII-ETF) 的基金机构持有58.28亿份，占总份额的72.14%，个人投资者持有22.50亿份，占总份额的27.86%,国央企,0.008271602261374467,0.23685465905132602,-0.0706272690840357,0.7245070985563296,-0.012604453709568642,2012-10-23 至 2025-02-28,2999.0,成功
515880,国泰中证全指通信设备,指数型,49.09%,27.41%,136.38 亿,截至2025-06-30，国泰中证全指通信设备ETF 的基金机构持有9.12亿份，占总份额的49.09%，个人投资者持有5.09亿份，占总份额的27.41%,通信,0.03242777577111,0.32360924320315204,0.02295291598468672,1.0738142558979926,0.08291490118322975,2019-09-09 至 2025-02-28,1324.0,成功
512980,广发中证传媒ETF,指数型,70.54%,29.46%,26.43 亿,截至2025-06-30，广发中证传媒ETF 的基金机构持有21.09亿份，占总份额的70.54%，个人投资者持有8.81亿份，占总份额的29.46%,传媒,-0.03273590834464879,0.314420004922866,-0.18362670135703565,1.0327532287977734,0.013568649960697288,2018-01-22 至 2025-02-28,1721.0,成功
516200,华安中证全指证券公司,指数型,89.84%,10.16%,3.78 亿,截至2025-06-30，华安中证全指证券公司ETF 的基金机构持有3.16亿份，占总份额的89.84%，个人投资者持有0.36亿份，占总份额的10.16%,证券,0.010474480196342562,0.2646957626539702,-0.05487628384382665,1.134374590936618,0.1118173732948815,2021-03-23 至 2025-02-28,954.0,成功
159842,银华中证全指证券公司,指数型,50.82%,49.18%,105.86 亿,截至2025-06-30，银华中证全指证券公司ETF 的基金机构持有12.86亿份，占总份额的50.82%，个人投资者持有12.44亿份，占总份额的49.18%,证券,0.016412580753885297,0.2680210644166608,-0.03204009082198425,1.1478953036998907,0.11995567802690288,2021-03-22 至 2025-02-28,955.0,成功
159755,广发国证新能源车电池,指数型,56.43%,43.57%,140.86 亿,截至2025-06-30，广发国证新能源车电池ETF 的基金机构持有26.19亿份，占总份额的56.43%，个人投资者持有20.22亿份，占总份额的43.57%,新能源,-0.10070682792944263,0.35257573662589325,-0.3565385103706841,1.318807463162207,0.04491083864011225,2021-06-25 至 2025-02-28,891.0,成功
159998,天弘中证计算机ETF,指数型,39.02%,10.39%,23.61 亿,截至2025-06-30，天弘中证计算机ETF 的基金机构持有14.32亿份，占总份额的39.02%，个人投资者持有3.81亿份，占总份额的10.39%,计算机,-0.001301791237998784,0.30553554746176637,-0.08608422639035183,1.1117135272340193,0.02411920935943246,2020-04-14 至 2025-02-28,1182.0,成功
561990,招商沪深300增强策,指数型,61.15%,38.85%,6.33 亿,截至2025-06-30，招商沪深300增强策略ETF 的基金机构持有4.74亿份，占总份额的61.15%，个人投资者持有3.01亿份，占总份额的38.85%,沪深300,-0.05290391625684143,0.19205015292506505,-0.4056436043934748,1.005070666264384,0.032725464743293964,2021-12-13 至 2025-02-28,777.0,成功
563000,易方达MSCI中国A,指数型,58.42%,41.58%,26.17 亿,截至2025-06-30，易方达MSCI中国A50互联互通ETF 的基金机构持有27.26亿份，占总份额的58.42%，个人投资者持有19.40亿份，占总份额的41.58%,MSCI,-0.05544526810370509,0.1930266570538351,-0.4167572983521593,1.0147896570858226,0.013872173148730349,2021-11-09 至 2025-02-28,801.0,成功
513230,华夏中证港股通消费主,指数型,46.37%,29.64%,3.27 亿,截至2025-06-30，华夏中证港股通消费主题ETF 的基金机构持有1.59亿份，占总份额的46.37%，个人投资者持有1.02亿份，占总份额的29.64%,消费,0.023942409923743302,0.3182554210266985,-0.003323085818443853,1.1763025353332908,0.1390861796756091,2022-01-25 至 2025-02-28,747.0,成功
560570,国联安中证A500红,指数型,98.93%,1.07%,16.57 亿,截至2025-09-11，国联安中证A500红利低波ETF 的基金机构持有12.33亿份，占总份额的98.93%，个人投资者持有0.13亿份，占总份额的1.07%,红利,,,,,,,,数据不足
513200,易方达中证港股通医药,指数型,86.83%,13.17%,17.97 亿,截至2025-06-30，易方达中证港股通医药卫生综合ETF 的基金机构持有20.01亿份，占总份额的86.83%，个人投资者持有3.03亿份，占总份额的13.17%,医药,-0.05250412480733002,0.34949693769805623,-0.22175909556692253,1.2325830906137496,0.05891274499950505,2022-02-14 至 2025-02-28,738.0,成功
159699,广发恒生消费(QDI,指数型,67.65%,32.35%,11.73 亿,截至2025-06-30，广发恒生消费(QDII-ETF) 的基金机构持有7.52亿份，占总份额的67.65%，个人投资者持有3.60亿份，占总份额的32.35%,消费,-0.011262448226586286,0.24833450788052006,-0.14602259080334118,0.8145933516192554,-0.008644142659673837,2023-08-24 至 2025-02-28,364.0,成功
