基金代码,基金简称,类型,机构持有比例,个人持有比例,资产规模,原始摘要,小类
513310,华泰柏瑞中韩半导体E,指数型,51.20%,38.46%,36.71 亿,截至2025-06-30，华泰柏瑞中韩半导体ETF(QDII) 的基金机构持有1.72亿份，占总份额的51.20%，个人投资者持有1.29亿份，占总份额的38.46%,半导体
512100,南方中证1000ET,指数型,93.15%,5.51%,789.96 亿,截至2025-06-30，南方中证1000ETF 的基金机构持有236.08亿份，占总份额的93.15%，个人投资者持有13.97亿份，占总份额的5.51%,中证1000
159915,易方达创业板ETF,指数型,65.95%,34.05%,1004.46 亿,截至2025-06-30，易方达创业板ETF 的基金机构持有264.64亿份，占总份额的65.95%，个人投资者持有136.62亿份，占总份额的34.05%,创业板
513660,华夏沪港通恒生ETF,指数型,41.85%,8.75%,46.37 亿,截至2025-06-30，华夏沪港通恒生ETF 的基金机构持有5.93亿份，占总份额的41.85%，个人投资者持有1.24亿份，占总份额的8.75%,国际
510050,华夏上证50ETF,指数型,88.69%,10.22%,1759.22 亿,截至2025-06-30，华夏上证50ETF 的基金机构持有522.87亿份，占总份额的88.69%，个人投资者持有60.23亿份，占总份额的10.22%,上证50ETF
510100,易方达上证50ETF,指数型,90.38%,9.62%,47.60 亿,截至2025-06-30，易方达上证50ETF 的基金机构持有14.43亿份，占总份额的90.38%，个人投资者持有1.54亿份，占总份额的9.62%,上证50ETF
159562,华夏中证沪深港黄金产,指数型,58.32%,29.40%,30.33 亿,截至2025-06-30，华夏中证沪深港黄金产业股票ETF 的基金机构持有2.18亿份，占总份额的58.32%，个人投资者持有1.10亿份，占总份额的29.40%,黄金
510510,广发中证500ETF,指数型,86.14%,13.86%,20.96 亿,截至2025-06-30，广发中证500ETF 的基金机构持有9.00亿份，占总份额的86.14%，个人投资者持有1.45亿份，占总份额的13.86%,中证500
517520,永赢中证沪深港黄金产,指数型,89.02%,10.98%,125.50 亿,截至2025-06-30，永赢中证沪深港黄金产业股票ETF 的基金机构持有28.64亿份，占总份额的89.02%，个人投资者持有3.53亿份，占总份额的10.98%,黄金
588290,华安上证科创板芯片E,指数型,65.66%,34.34%,35.82 亿,截至2025-06-30，华安上证科创板芯片ETF 的基金机构持有10.78亿份，占总份额的65.66%，个人投资者持有5.64亿份，占总份额的34.34%,芯片
159910,嘉实深证基本面120,指数型,93.97%,6.03%,2.79 亿,截至2025-06-30，嘉实深证基本面120ETF 的基金机构持有1.31亿份，占总份额的93.97%，个人投资者持有0.08亿份，占总份额的6.03%,策略
159695,嘉实国证通信ETF,指数型,72.31%,27.69%,3.56 亿,截至2025-06-30，嘉实国证通信ETF 的基金机构持有0.61亿份，占总份额的72.31%，个人投资者持有0.23亿份，占总份额的27.69%,通信
159880,鹏华国证有色金属行业,指数型,50.61%,49.39%,8.83 亿,截至2025-06-30，鹏华国证有色金属行业ETF 的基金机构持有0.42亿份，占总份额的50.61%，个人投资者持有0.41亿份，占总份额的49.39%,有色
561330,国泰中证有色金属矿业,指数型,11.29%,11.01%,12.30 亿,截至2025-06-30，国泰中证有色金属矿业主题ETF 的基金机构持有0.08亿份，占总份额的11.29%，个人投资者持有0.08亿份，占总份额的11.01%,有色
512400,南方中证申万有色金属,指数型,52.31%,22.36%,205.91 亿,截至2025-06-30，南方中证申万有色金属ETF 的基金机构持有21.60亿份，占总份额的52.31%，个人投资者持有9.23亿份，占总份额的22.36%,有色
561380,国泰恒生A股电网设备,指数型,42.34%,38.67%,5.52 亿,截至2025-06-30，国泰恒生A股电网设备ETF 的基金机构持有0.26亿份，占总份额的42.34%，个人投资者持有0.24亿份，占总份额的38.67%,电网设备
159599,西藏东财中证芯片产业,指数型,67.79%,32.21%,11.90 亿,截至2025-06-30，西藏东财中证芯片产业ETF 的基金机构持有3.22亿份，占总份额的67.79%，个人投资者持有1.53亿份，占总份额的32.21%,芯片
516650,华夏细分有色金属产业,指数型,37.38%,20.47%,65.95 亿,截至2025-06-30，华夏细分有色金属产业主题ETF 的基金机构持有0.41亿份，占总份额的37.38%，个人投资者持有0.22亿份，占总份额的20.47%,有色
159566,易方达国证新能源电池,指数型,54.86%,45.14%,38.90 亿,截至2025-06-30，易方达国证新能源电池ETF 的基金机构持有0.49亿份，占总份额的54.86%，个人投资者持有0.40亿份，占总份额的45.14%,新能源
516150,嘉实中证稀土产业ET,指数型,84.69%,15.31%,77.71 亿,截至2025-06-30，嘉实中证稀土产业ETF 的基金机构持有17.30亿份，占总份额的84.69%，个人投资者持有3.13亿份，占总份额的15.31%,稀土
159936,广发中证全指可选消费,指数型,90.78%,9.22%,3.60 亿,截至2025-06-30，广发中证全指可选消费ETF 的基金机构持有1.40亿份，占总份额的90.78%，个人投资者持有0.14亿份，占总份额的9.22%,消费
159961,方正富邦深证100E,指数型,97.73%,2.27%,3.66 亿,截至2025-06-30，方正富邦深证100ETF 的基金机构持有2.64亿份，占总份额的97.73%，个人投资者持有0.06亿份，占总份额的2.27%,深证100
159964,平安创业板ETF,指数型,88.56%,11.44%,4.74 亿,截至2025-06-30，平安创业板ETF 的基金机构持有3.09亿份，占总份额的88.56%，个人投资者持有0.40亿份，占总份额的11.44%,创业板
159980,大成有色金属期货ET,指数型,79.11%,20.89%,46.97 亿,截至2025-06-30，大成有色金属期货ETF 的基金机构持有4.45亿份，占总份额的79.11%，个人投资者持有1.18亿份，占总份额的20.89%,有色
159558,易方达中证半导体材料,指数型,82.52%,17.48%,16.07 亿,截至2025-06-30，易方达中证半导体材料设备主题ETF 的基金机构持有3.22亿份，占总份额的82.52%，个人投资者持有0.68亿份，占总份额的17.48%,材料
510560,国寿安保中证500E,指数型,98.65%,1.35%,2.19 亿,截至2025-06-30，国寿安保中证500ETF 的基金机构持有1.25亿份，占总份额的98.65%，个人投资者持有0.02亿份，占总份额的1.35%,中证500
512090,易方达MSCI中国A,指数型,58.90%,41.10%,6.67 亿,截至2025-06-30，易方达MSCI中国A股ETF 的基金机构持有1.45亿份，占总份额的58.90%，个人投资者持有1.01亿份，占总份额的41.10%,MSCI
