基金代码,基金简称,类型,机构持有比例,个人持有比例,资产规模,原始摘要,小类
516970,广发中证基建工程ET,指数型,85.79%,14.21%,19.71 亿,截至2025-06-30，广发中证基建工程ETF 的基金机构持有17.93亿份，占总份额的85.79%，个人投资者持有2.97亿份，占总份额的14.21%,基建
512720,国泰中证计算机ETF,指数型,53.39%,28.33%,8.01 亿,截至2025-06-30，国泰中证计算机ETF 的基金机构持有6.53亿份，占总份额的53.39%，个人投资者持有3.47亿份，占总份额的28.33%,计算机
159361,易方达中证A500E,指数型,92.09%,7.91%,338.63 亿,截至2025-06-30，易方达中证A500ETF 的基金机构持有128.51亿份，占总份额的92.09%，个人投资者持有11.04亿份，占总份额的7.91%,中证500
560700,广发中证国新央企股东,指数型,81.56%,18.44%,4.75 亿,截至2025-06-30，广发中证国新央企股东回报ETF 的基金机构持有5.82亿份，占总份额的81.56%，个人投资者持有1.32亿份，占总份额的18.44%,国央企
560350,摩根中证A50ETF,指数型,60.07%,27.58%,20.57 亿,截至2025-06-30，摩根中证A50ETF 的基金机构持有13.87亿份，占总份额的60.07%，个人投资者持有6.37亿份，占总份额的27.58%,中证A50
510320,中金沪深300ETF,指数型,95.94%,4.06%,5.17 亿,截至2025-06-30，中金沪深300ETF 的基金机构持有4.47亿份，占总份额的95.94%，个人投资者持有0.19亿份，占总份额的4.06%,沪深300
562950,易方达中证消费电子主,指数型,87.92%,12.08%,11.08 亿,截至2025-06-30，易方达中证消费电子主题ETF 的基金机构持有3.11亿份，占总份额的87.92%，个人投资者持有0.43亿份，占总份额的12.08%,消费
159353,景顺长城中证A500,指数型,52.48%,6.31%,51.11 亿,截至2025-06-30，景顺长城中证A500ETF 的基金机构持有61.67亿份，占总份额的52.48%，个人投资者持有7.42亿份，占总份额的6.31%,中证500
560530,摩根中证A500ET,指数型,49.22%,15.53%,45.86 亿,截至2025-06-30，摩根中证A500ETF 的基金机构持有36.45亿份，占总份额的49.22%，个人投资者持有11.50亿份，占总份额的15.53%,中证500
159339,银华中证A500ET,指数型,84.52%,15.48%,32.72 亿,截至2025-06-30，银华中证A500ETF 的基金机构持有53.57亿份，占总份额的84.52%，个人投资者持有9.81亿份，占总份额的15.48%,中证500
560810,融通中证诚通央企ES,指数型,82.38%,17.62%,8.97 亿,截至2025-06-30，融通中证诚通央企ESGETF 的基金机构持有4.21亿份，占总份额的82.38%，个人投资者持有0.90亿份，占总份额的17.62%,国央企
512390,平安MSCI中国A股,指数型,99.61%,0.39%,2.04 亿,截至2025-06-30，平安MSCI中国A股ETF 的基金机构持有1.65亿份，占总份额的99.61%，个人投资者持有0.01亿份，占总份额的0.39%,MSCI
159351,嘉实中证A500ET,指数型,95.96%,4.04%,105.89 亿,截至2025-06-30，嘉实中证A500ETF 的基金机构持有172.26亿份，占总份额的95.96%，个人投资者持有7.25亿份，占总份额的4.04%,中证500
516950,银华中证基建ETF,指数型,56.09%,43.91%,2.83 亿,截至2025-06-30，银华中证基建ETF 的基金机构持有2.44亿份，占总份额的56.09%，个人投资者持有1.91亿份，占总份额的43.91%,基建
159338,国泰中证A500ET,指数型,59.77%,33.98%,373.59 亿,截至2025-06-30，国泰中证A500ETF 的基金机构持有113.65亿份，占总份额的59.77%，个人投资者持有64.61亿份，占总份额的33.98%,中证500
515220,国泰中证煤炭ETF,指数型,45.62%,30.13%,86.40 亿,截至2025-06-30，国泰中证煤炭ETF 的基金机构持有19.42亿份，占总份额的45.62%，个人投资者持有12.83亿份，占总份额的30.13%,煤炭
159217,工银国证港股通创新药,指数型,95.73%,4.27%,47.51 亿,截至2025-06-30，工银国证港股通创新药ETF 的基金机构持有36.02亿份，占总份额的95.73%，个人投资者持有1.61亿份，占总份额的4.27%,创新药
563800,广发中证A500ET,指数型,94.08%,5.92%,216.25 亿,截至2025-06-30，广发中证A500ETF 的基金机构持有180.00亿份，占总份额的94.08%，个人投资者持有11.33亿份，占总份额的5.92%,中证500
512050,华夏中证A500ET,指数型,61.79%,11.74%,420.34 亿,截至2025-06-30，华夏中证A500ETF 的基金机构持有102.19亿份，占总份额的61.79%，个人投资者持有19.41亿份，占总份额的11.74%,中证500
159549,天弘中证红利低波动1,指数型,1.21%,0.91%,50.17 亿,截至2025-06-30，天弘中证红利低波动100ETF 的基金机构持有0.41亿份，占总份额的1.21%，个人投资者持有0.30亿份，占总份额的0.91%,红利
513260,汇添富恒生科技ETF,指数型,61.07%,38.93%,71.75 亿,截至2025-06-30，汇添富恒生科技ETF(QDII) 的基金机构持有19.54亿份，占总份额的61.07%，个人投资者持有12.46亿份，占总份额的38.93%,QDII
159940,广发中证全指金融地产,指数型,93.16%,6.84%,6.55 亿,截至2025-06-30，广发中证全指金融地产ETF 的基金机构持有7.44亿份，占总份额的93.16%，个人投资者持有0.55亿份，占总份额的6.84%,金融
159547,华夏中证红利低波动E,指数型,20.92%,10.55%,8.97 亿,截至2025-06-30，华夏中证红利低波动ETF 的基金机构持有0.48亿份，占总份额的20.92%，个人投资者持有0.24亿份，占总份额的10.55%,红利
562960,易方达中证绿色电力E,指数型,85.45%,14.55%,2.11 亿,截至2025-06-30，易方达中证绿色电力ETF 的基金机构持有0.63亿份，占总份额的85.45%，个人投资者持有0.11亿份，占总份额的14.55%,电力
159312,广发恒指港股通ETF,指数型,58.27%,41.73%,2.53 亿,截至2025-06-30，广发恒指港股通ETF 的基金机构持有0.27亿份，占总份额的58.27%，个人投资者持有0.19亿份，占总份额的41.73%,国际
560610,招商中证A500ET,指数型,80.98%,19.02%,56.64 亿,截至2025-06-30，招商中证A500ETF 的基金机构持有73.16亿份，占总份额的80.98%，个人投资者持有17.19亿份，占总份额的19.02%,中证500
560510,泰康中证A500ET,指数型,86.57%,13.43%,35.05 亿,截至2025-06-30，泰康中证A500ETF 的基金机构持有55.86亿份，占总份额的86.57%，个人投资者持有8.66亿份，占总份额的13.43%,中证500
560090,汇添富中证全指证券公,指数型,73.03%,26.97%,35.05 亿,截至2025-06-30，汇添富中证全指证券公司ETF 的基金机构持有14.82亿份，占总份额的73.03%，个人投资者持有5.47亿份，占总份额的26.97%,证券
563020,易方达中证红利低波动,指数型,51.00%,49.00%,47.17 亿,截至2025-06-30，易方达中证红利低波动ETF 的基金机构持有8.66亿份，占总份额的51.00%，个人投资者持有8.33亿份，占总份额的49.00%,红利
159390,国联中证A50ETF,指数型,72.38%,12.66%,2.95 亿,截至2025-06-30，国联中证A50ETF 的基金机构持有2.10亿份，占总份额的72.38%，个人投资者持有0.37亿份，占总份额的12.66%,中证A50
513040,易方达中证港股通互联,指数型,72.52%,27.48%,79.08 亿,截至2025-06-30，易方达中证港股通互联网ETF 的基金机构持有3.70亿份，占总份额的72.52%，个人投资者持有1.40亿份，占总份额的27.48%,互联网
513120,广发中证香港创新药E,指数型,58.60%,41.40%,234.03 亿,截至2025-06-30，广发中证香港创新药ETF(QDII) 的基金机构持有69.43亿份，占总份额的58.60%，个人投资者持有49.06亿份，占总份额的41.40%,创新药
530680,兴业上证180ETF,指数型,85.40%,14.60%,2.59 亿,截至2025-06-30，兴业上证180ETF 的基金机构持有4.00亿份，占总份额的85.40%，个人投资者持有0.68亿份，占总份额的14.60%,上证180
516570,易方达中证石化产业E,指数型,81.43%,18.57%,2.03 亿,截至2025-06-30，易方达中证石化产业ETF 的基金机构持有0.70亿份，占总份额的81.43%，个人投资者持有0.16亿份，占总份额的18.57%,能源
563520,沪深300ETF永赢,指数型,83.78%,16.22%,5.02 亿,截至2025-06-30，沪深300ETF永赢 的基金机构持有8.35亿份，占总份额的83.78%，个人投资者持有1.62亿份，占总份额的16.22%,沪深300
513690,博时恒生高股息ETF,指数型,86.44%,5.59%,55.26 亿,截至2025-06-30，博时恒生高股息ETF 的基金机构持有35.23亿份，占总份额的86.44%，个人投资者持有2.28亿份，占总份额的5.59%,高股息
159148,富国国证石油天然气E,指数型,70.20%,29.80%,2.10 亿,截至2026-02-04，富国国证石油天然气ETF 的基金机构持有1.48亿份，占总份额的70.20%，个人投资者持有0.63亿份，占总份额的29.80%,能源
512890,华泰柏瑞中证红利低波,指数型,36.33%,18.54%,267.54 亿,截至2025-06-30，华泰柏瑞中证红利低波ETF 的基金机构持有57.45亿份，占总份额的36.33%，个人投资者持有29.31亿份，占总份额的18.54%,红利
159207,广发中证智选高股息策,指数型,54.10%,45.90%,4.57 亿,截至2025-06-30，广发中证智选高股息策略ETF 的基金机构持有1.90亿份，占总份额的54.10%，个人投资者持有1.61亿份，占总份额的45.90%,高股息
159732,华夏国证消费电子主题,指数型,57.93%,32.46%,30.20 亿,截至2025-06-30，华夏国证消费电子主题ETF 的基金机构持有13.92亿份，占总份额的57.93%，个人投资者持有7.80亿份，占总份额的32.46%,消费
560150,泰康中证红利低波动E,指数型,97.46%,2.54%,8.57 亿,截至2025-06-30，泰康中证红利低波动ETF 的基金机构持有6.78亿份，占总份额的97.46%，个人投资者持有0.18亿份，占总份额的2.54%,红利
560170,南方中证国新央企科技,指数型,63.36%,34.68%,13.46 亿,截至2025-06-30，南方中证国新央企科技引领ETF 的基金机构持有10.36亿份，占总份额的63.36%，个人投资者持有5.67亿份，占总份额的34.68%,国央企
515250,富国中证智能汽车主题,指数型,57.98%,42.02%,6.80 亿,截至2025-06-30，富国中证智能汽车主题ETF 的基金机构持有4.30亿份，占总份额的57.98%，个人投资者持有3.11亿份，占总份额的42.02%,汽车
159656,万家沪深300成长E,指数型,46.16%,37.99%,2.42 亿,截至2025-06-30，万家沪深300成长ETF 的基金机构持有0.72亿份，占总份额的46.16%，个人投资者持有0.59亿份，占总份额的37.99%,沪深300
520900,广发中证国新港股通央,指数型,87.34%,12.66%,19.44 亿,截至2025-06-30，广发中证国新港股通央企红利ETF 的基金机构持有17.64亿份，占总份额的87.34%，个人投资者持有2.56亿份，占总份额的12.66%,国央企
512570,易方达中证全指证券公,指数型,86.90%,13.10%,22.94 亿,截至2025-06-30，易方达中证全指证券公司ETF 的基金机构持有9.60亿份，占总份额的86.90%，个人投资者持有1.45亿份，占总份额的13.10%,证券
159611,广发中证全指电力公用,指数型,69.43%,30.57%,36.90 亿,截至2025-06-30，广发中证全指电力公用事业ETF 的基金机构持有23.74亿份，占总份额的69.43%，个人投资者持有10.45亿份，占总份额的30.57%,电力
513550,华泰柏瑞中证港股通5,指数型,80.23%,19.77%,26.80 亿,截至2025-06-30，华泰柏瑞中证港股通50ETF 的基金机构持有17.31亿份，占总份额的80.23%，个人投资者持有4.27亿份，占总份额的19.77%,宽基
159971,富国创业板ETF,指数型,90.21%,9.79%,20.80 亿,截至2025-06-30，富国创业板ETF 的基金机构持有14.92亿份，占总份额的90.21%，个人投资者持有1.62亿份，占总份额的9.79%,创业板
520660,南方中证国新港股通央,指数型,77.10%,18.63%,27.95 亿,截至2025-06-30，南方中证国新港股通央企红利ETF 的基金机构持有8.63亿份，占总份额的77.10%，个人投资者持有2.09亿份，占总份额的18.63%,国央企
516660,华安中证新能源汽车E,指数型,63.36%,36.64%,2.94 亿,截至2025-06-30，华安中证新能源汽车ETF 的基金机构持有2.53亿份，占总份额的63.36%，个人投资者持有1.46亿份，占总份额的36.64%,汽车
159525,富国中证红利低波动E,指数型,60.37%,39.63%,3.39 亿,截至2025-06-30，富国中证红利低波动ETF 的基金机构持有1.37亿份，占总份额的60.37%，个人投资者持有0.90亿份，占总份额的39.63%,红利
520990,景顺长城中证国新港股,指数型,83.48%,9.27%,56.81 亿,截至2025-06-30，景顺长城中证国新港股通央企红利ETF 的基金机构持有40.49亿份，占总份额的83.48%，个人投资者持有4.50亿份，占总份额的9.27%,国央企
510900,易方达恒生国企(QD,指数型,72.14%,27.86%,78.70 亿,截至2025-06-30，易方达恒生国企(QDII-ETF) 的基金机构持有58.28亿份，占总份额的72.14%，个人投资者持有22.50亿份，占总份额的27.86%,国央企
515880,国泰中证全指通信设备,指数型,49.09%,27.41%,136.38 亿,截至2025-06-30，国泰中证全指通信设备ETF 的基金机构持有9.12亿份，占总份额的49.09%，个人投资者持有5.09亿份，占总份额的27.41%,通信
512980,广发中证传媒ETF,指数型,70.54%,29.46%,26.43 亿,截至2025-06-30，广发中证传媒ETF 的基金机构持有21.09亿份，占总份额的70.54%，个人投资者持有8.81亿份，占总份额的29.46%,传媒
516200,华安中证全指证券公司,指数型,89.84%,10.16%,3.78 亿,截至2025-06-30，华安中证全指证券公司ETF 的基金机构持有3.16亿份，占总份额的89.84%，个人投资者持有0.36亿份，占总份额的10.16%,证券
159842,银华中证全指证券公司,指数型,50.82%,49.18%,105.86 亿,截至2025-06-30，银华中证全指证券公司ETF 的基金机构持有12.86亿份，占总份额的50.82%，个人投资者持有12.44亿份，占总份额的49.18%,证券
159755,广发国证新能源车电池,指数型,56.43%,43.57%,140.86 亿,截至2025-06-30，广发国证新能源车电池ETF 的基金机构持有26.19亿份，占总份额的56.43%，个人投资者持有20.22亿份，占总份额的43.57%,新能源
159998,天弘中证计算机ETF,指数型,39.02%,10.39%,23.61 亿,截至2025-06-30，天弘中证计算机ETF 的基金机构持有14.32亿份，占总份额的39.02%，个人投资者持有3.81亿份，占总份额的10.39%,计算机
561990,招商沪深300增强策,指数型,61.15%,38.85%,6.33 亿,截至2025-06-30，招商沪深300增强策略ETF 的基金机构持有4.74亿份，占总份额的61.15%，个人投资者持有3.01亿份，占总份额的38.85%,沪深300
563000,易方达MSCI中国A,指数型,58.42%,41.58%,26.17 亿,截至2025-06-30，易方达MSCI中国A50互联互通ETF 的基金机构持有27.26亿份，占总份额的58.42%，个人投资者持有19.40亿份，占总份额的41.58%,MSCI
513230,华夏中证港股通消费主,指数型,46.37%,29.64%,3.27 亿,截至2025-06-30，华夏中证港股通消费主题ETF 的基金机构持有1.59亿份，占总份额的46.37%，个人投资者持有1.02亿份，占总份额的29.64%,消费
560570,国联安中证A500红,指数型,98.93%,1.07%,16.57 亿,截至2025-09-11，国联安中证A500红利低波ETF 的基金机构持有12.33亿份，占总份额的98.93%，个人投资者持有0.13亿份，占总份额的1.07%,红利
513200,易方达中证港股通医药,指数型,86.83%,13.17%,17.97 亿,截至2025-06-30，易方达中证港股通医药卫生综合ETF 的基金机构持有20.01亿份，占总份额的86.83%，个人投资者持有3.03亿份，占总份额的13.17%,医药
159699,广发恒生消费(QDI,指数型,67.65%,32.35%,11.73 亿,截至2025-06-30，广发恒生消费(QDII-ETF) 的基金机构持有7.52亿份，占总份额的67.65%，个人投资者持有3.60亿份，占总份额的32.35%,消费
560080,汇添富中证中药ETF,指数型,60.18%,39.82%,24.52 亿,截至2025-06-30，汇添富中证中药ETF 的基金机构持有10.39亿份，占总份额的60.18%，个人投资者持有6.87亿份，占总份额的39.82%,中药
560050,汇添富MSCI中国A,指数型,61.51%,38.49%,40.40 亿,截至2025-06-30，汇添富MSCI中国A50互联互通ETF 的基金机构持有32.46亿份，占总份额的61.51%，个人投资者持有20.31亿份，占总份额的38.49%,MSCI
512670,鹏华中证国防ETF,指数型,63.21%,36.79%,37.27 亿,截至2025-06-30，鹏华中证国防ETF 的基金机构持有46.13亿份，占总份额的63.21%，个人投资者持有26.85亿份，占总份额的36.79%,军工
516020,华宝化工ETF,指数型,61.26%,38.74%,37.93 亿,截至2025-06-30，华宝化工ETF 的基金机构持有4.43亿份，占总份额的61.26%，个人投资者持有2.80亿份，占总份额的38.74%,化工
561300,国泰沪深300增强策,指数型,69.81%,28.60%,6.50 亿,截至2025-06-30，国泰沪深300增强策略ETF 的基金机构持有12.22亿份，占总份额的69.81%，个人投资者持有5.01亿份，占总份额的28.60%,沪深300
588700,嘉实上证科创板生物医,指数型,52.12%,47.88%,2.51 亿,截至2025-06-30，嘉实上证科创板生物医药ETF 的基金机构持有1.04亿份，占总份额的52.12%，个人投资者持有0.96亿份，占总份额的47.88%,生物医药
517330,易方达中证长江保护主,指数型,99.76%,0.24%,16.71 亿,截至2025-06-30，易方达中证长江保护主题ETF 的基金机构持有18.22亿份，占总份额的99.76%，个人投资者持有0.04亿份，占总份额的0.24%,环保
517160,南方中证长江保护主题,指数型,98.34%,0.20%,16.52 亿,截至2025-06-30，南方中证长江保护主题ETF 的基金机构持有18.08亿份，占总份额的98.34%，个人投资者持有0.04亿份，占总份额的0.20%,环保
159954,南方恒生中国企业ET,指数型,26.44%,16.18%,3.37 亿,截至2025-06-30，南方恒生中国企业ETF 的基金机构持有1.12亿份，占总份额的26.44%，个人投资者持有0.68亿份，占总份额的16.18%,国央企
513970,景顺长城恒生消费ET,指数型,46.01%,33.32%,29.35 亿,截至2025-06-30，景顺长城恒生消费ETF(QDII) 的基金机构持有7.95亿份，占总份额的46.01%，个人投资者持有5.76亿份，占总份额的33.32%,消费
159796,汇添富中证电池主题E,指数型,77.59%,22.41%,93.91 亿,截至2025-06-30，汇添富中证电池主题ETF 的基金机构持有13.94亿份，占总份额的77.59%，个人投资者持有4.03亿份，占总份额的22.41%,新能源
159268,汇添富国证港股通消费,指数型,85.50%,14.50%,7.29 亿,截至2025-07-14，汇添富国证港股通消费主题ETF 的基金机构持有1.95亿份，占总份额的85.50%，个人投资者持有0.33亿份，占总份额的14.50%,消费
513590,鹏华中证港股通消费主,指数型,50.54%,49.46%,2.29 亿,截至2025-06-30，鹏华中证港股通消费主题ETF 的基金机构持有1.97亿份，占总份额的50.54%，个人投资者持有1.93亿份，占总份额的49.46%,消费
159939,广发中证全指信息技术,指数型,79.01%,20.99%,12.66 亿,截至2025-06-30，广发中证全指信息技术ETF 的基金机构持有19.80亿份，占总份额的79.01%，个人投资者持有5.26亿份，占总份额的20.99%,科技
159801,广发国证半导体芯片E,指数型,54.58%,45.42%,44.92 亿,截至2025-06-30，广发国证半导体芯片ETF 的基金机构持有29.12亿份，占总份额的54.58%，个人投资者持有24.24亿份，占总份额的45.42%,芯片
510810,汇添富中证上海国企E,指数型,99.29%,0.71%,67.47 亿,截至2025-06-30，汇添富中证上海国企ETF 的基金机构持有93.45亿份，占总份额的99.29%，个人投资者持有0.66亿份，占总份额的0.71%,国央企
588180,国联安上证科创板50,指数型,70.00%,30.00%,19.19 亿,截至2025-06-30，国联安上证科创板50成份ETF 的基金机构持有34.67亿份，占总份额的70.00%，个人投资者持有14.85亿份，占总份额的30.00%,科创板
516810,华夏中证农业主题ET,指数型,40.59%,29.79%,2.34 亿,截至2025-06-30，华夏中证农业主题ETF 的基金机构持有0.97亿份，占总份额的40.59%，个人投资者持有0.71亿份，占总份额的29.79%,农业
159637,新能源车龙头ETF,指数型,69.99%,30.01%,10.42 亿,截至2025-06-30，新能源车龙头ETF 的基金机构持有9.13亿份，占总份额的69.99%，个人投资者持有3.92亿份，占总份额的30.01%,新能源
588060,广发上证科创板50成,指数型,56.80%,43.20%,83.73 亿,截至2025-06-30，广发上证科创板50成份ETF 的基金机构持有51.30亿份，占总份额的56.80%，个人投资者持有39.02亿份，占总份额的43.20%,科创板
562930,易方达中证软件服务E,指数型,77.07%,22.93%,2.63 亿,截至2025-06-30，易方达中证软件服务ETF 的基金机构持有1.48亿份，占总份额的77.07%，个人投资者持有0.44亿份，占总份额的22.93%,科技
520510,华夏中证港股通医疗主,指数型,95.41%,4.59%,2.06 亿,截至2025-07-31，华夏中证港股通医疗主题ETF 的基金机构持有4.84亿份，占总份额的95.41%，个人投资者持有0.23亿份，占总份额的4.59%,医药
512710,富国中证军工龙头ET,指数型,61.00%,39.00%,100.58 亿,截至2025-06-30，富国中证军工龙头ETF 的基金机构持有105.00亿份，占总份额的61.00%，个人投资者持有67.13亿份，占总份额的39.00%,军工
159852,嘉实中证软件服务ET,指数型,64.43%,35.57%,60.25 亿,截至2025-06-30，嘉实中证软件服务ETF 的基金机构持有25.40亿份，占总份额的64.43%，个人投资者持有14.02亿份，占总份额的35.57%,科技
159718,平安中证港股通医药卫,指数型,58.02%,41.98%,2.09 亿,截至2025-06-30，平安中证港股通医药卫生综合ETF 的基金机构持有1.72亿份，占总份额的58.02%，个人投资者持有1.25亿份，占总份额的41.98%,医药
159960,平安港股通恒生中国企,指数型,90.31%,9.69%,5.06 亿,截至2025-06-30，平安港股通恒生中国企业ETF 的基金机构持有5.50亿份，占总份额的90.31%，个人投资者持有0.59亿份，占总份额的9.69%,国央企
560260,广发中证医疗ETF,指数型,93.92%,6.08%,15.10 亿,截至2025-06-30，广发中证医疗ETF 的基金机构持有18.30亿份，占总份额的93.92%，个人投资者持有1.19亿份，占总份额的6.08%,医药
512070,易方达沪深300非银,指数型,79.02%,20.98%,176.13 亿,截至2025-06-30，易方达沪深300非银ETF 的基金机构持有73.59亿份，占总份额的79.02%，个人投资者持有19.54亿份，占总份额的20.98%,非银
520670,嘉实恒生港股通科技主,指数型,83.60%,16.40%,2.73 亿,截至2025-08-12，嘉实恒生港股通科技主题ETF 的基金机构持有2.07亿份，占总份额的83.60%，个人投资者持有0.41亿份，占总份额的16.40%,科技
562880,嘉实中证电池主题ET,指数型,65.06%,34.94%,14.52 亿,截至2025-06-30，嘉实中证电池主题ETF 的基金机构持有3.94亿份，占总份额的65.06%，个人投资者持有2.12亿份，占总份额的34.94%,新能源
159885,鹏华中证内地低碳经济,指数型,69.48%,30.52%,2.44 亿,截至2025-06-30，鹏华中证内地低碳经济主题ETF 的基金机构持有3.01亿份，占总份额的69.48%，个人投资者持有1.32亿份，占总份额的30.52%,低碳
515960,嘉实医药健康100E,指数型,63.64%,36.36%,2.04 亿,截至2025-06-30，嘉实医药健康100ETF 的基金机构持有1.81亿份，占总份额的63.64%，个人投资者持有1.03亿份，占总份额的36.36%,医药
159851,华宝中证金融科技主题,指数型,62.89%,37.11%,100.84 亿,截至2025-06-30，华宝中证金融科技主题ETF 的基金机构持有21.51亿份，占总份额的62.89%，个人投资者持有12.69亿份，占总份额的37.11%,科技
159735,银华中证港股通消费主,指数型,61.91%,38.09%,7.26 亿,截至2025-06-30，银华中证港股通消费主题ETF 的基金机构持有4.78亿份，占总份额的61.91%，个人投资者持有2.94亿份，占总份额的38.09%,消费
512800,华宝中证银行ETF,指数型,79.51%,20.49%,127.94 亿,截至2025-06-30，华宝中证银行ETF 的基金机构持有55.59亿份，占总份额的79.51%，个人投资者持有14.33亿份，占总份额的20.49%,银行
159928,汇添富中证主要消费E,指数型,55.43%,44.57%,208.92 亿,截至2025-06-30，汇添富中证主要消费ETF 的基金机构持有84.68亿份，占总份额的55.43%，个人投资者持有68.09亿份，占总份额的44.57%,消费
159797,汇添富中证全指医疗器,指数型,61.77%,38.23%,3.18 亿,截至2025-06-30，汇添富中证全指医疗器械ETF 的基金机构持有0.64亿份，占总份额的61.77%，个人投资者持有0.39亿份，占总份额的38.23%,医药
159567,银华国证港股通创新药,指数型,52.57%,47.43%,78.97 亿,截至2025-06-30，银华国证港股通创新药ETF 的基金机构持有9.50亿份，占总份额的52.57%，个人投资者持有8.57亿份，占总份额的47.43%,创新药
159792,富国中证港股通互联网,指数型,96.57%,3.43%,794.79 亿,截至2025-06-30，富国中证港股通互联网ETF 的基金机构持有527.27亿份，占总份额的96.57%，个人投资者持有18.73亿份，占总份额的3.43%,互联网
159748,富国沪港深创新药产业,指数型,51.99%,48.01%,5.62 亿,截至2025-06-30，富国沪港深创新药产业ETF 的基金机构持有2.85亿份，占总份额的51.99%，个人投资者持有2.63亿份，占总份额的48.01%,创新药
516670,招商中证畜牧养殖ET,指数型,65.19%,34.81%,13.59 亿,截至2025-06-30，招商中证畜牧养殖ETF 的基金机构持有6.14亿份，占总份额的65.19%，个人投资者持有3.28亿份，占总份额的34.81%,养殖
159745,国泰中证全指建筑材料,指数型,71.80%,28.20%,6.10 亿,截至2025-06-30，国泰中证全指建筑材料ETF 的基金机构持有6.37亿份，占总份额的71.80%，个人投资者持有2.50亿份，占总份额的28.20%,材料
515060,华夏中证全指房地产E,指数型,28.17%,24.42%,5.43 亿,截至2025-06-30，华夏中证全指房地产ETF 的基金机构持有2.80亿份，占总份额的28.17%，个人投资者持有2.43亿份，占总份额的24.42%,金融
562080,华宝沪深300自由现,指数型,82.35%,17.65%,9.25 亿,截至2025-06-30，华宝沪深300自由现金流ETF 的基金机构持有1.36亿份，占总份额的82.35%，个人投资者持有0.29亿份，占总份额的17.65%,自由现金流
159736,天弘中证食品饮料ET,指数型,4.20%,1.89%,54.21 亿,截至2025-06-30，天弘中证食品饮料ETF 的基金机构持有2.85亿份，占总份额的4.20%，个人投资者持有1.28亿份，占总份额的1.89%,食品饮料
512600,嘉实中证主要消费ET,指数型,71.08%,28.92%,12.33 亿,截至2025-06-30，嘉实中证主要消费ETF 的基金机构持有5.04亿份，占总份额的71.08%，个人投资者持有2.05亿份，占总份额的28.92%,消费
562060,华宝标普中国A股红利,指数型,95.25%,4.75%,24.78 亿,截至2025-06-30，华宝标普中国A股红利机会ETF 的基金机构持有12.21亿份，占总份额的95.25%，个人投资者持有0.61亿份，占总份额的4.75%,红利
513010,易方达恒生科技(QD,指数型,64.62%,35.38%,270.25 亿,截至2025-06-30，易方达恒生科技(QDII-ETF) 的基金机构持有100.93亿份，占总份额的64.62%，个人投资者持有55.26亿份，占总份额的35.38%,QDII
159814,西部利得创业板大盘E,指数型,53.74%,46.26%,5.20 亿,截至2025-06-30，西部利得创业板大盘ETF 的基金机构持有8.12亿份，占总份额的53.74%，个人投资者持有6.99亿份，占总份额的46.26%,创业板
513860,海富通中证港股通科技,指数型,75.20%,24.80%,45.34 亿,截至2025-06-30，海富通中证港股通科技ETF 的基金机构持有18.13亿份，占总份额的75.20%，个人投资者持有5.98亿份，占总份额的24.80%,科技
513980,景顺长城中证港股通科,指数型,84.75%,8.30%,224.93 亿,截至2025-06-30，景顺长城中证港股通科技ETF 的基金机构持有173.11亿份，占总份额的84.75%，个人投资者持有16.96亿份，占总份额的8.30%,科技
563500,华宝中证A500ET,指数型,95.98%,4.02%,6.17 亿,截至2025-06-30，华宝中证A500ETF 的基金机构持有12.05亿份，占总份额的95.98%，个人投资者持有0.51亿份，占总份额的4.02%,中证500
513580,华安恒生科技(QDI,指数型,75.25%,24.75%,51.94 亿,截至2025-06-30，华安恒生科技(QDII-ETF) 的基金机构持有24.82亿份，占总份额的75.25%，个人投资者持有8.16亿份，占总份额的24.75%,QDII
513130,华泰柏瑞南方东英恒生,指数型,45.14%,43.68%,425.06 亿,截至2025-06-30，华泰柏瑞南方东英恒生科技(QDII-ETF) 的基金机构持有167.56亿份，占总份额的45.14%，个人投资者持有162.16亿份，占总份额的43.68%,QDII
159220,华宝标普港股通低波红,指数型,84.26%,15.74%,3.08 亿,截至2025-06-30，华宝标普港股通低波红利ETF 的基金机构持有2.00亿份，占总份额的84.26%，个人投资者持有0.37亿份，占总份额的15.74%,红利
159596,华宝中证A50ETF,指数型,90.44%,9.56%,5.75 亿,截至2025-06-30，华宝中证A50ETF 的基金机构持有8.60亿份，占总份额的90.44%，个人投资者持有0.91亿份，占总份额的9.56%,中证A50
513700,鹏华中证港股通医药卫,指数型,51.70%,48.30%,8.63 亿,截至2025-06-30，鹏华中证港股通医药卫生综合交易ETF 的基金机构持有8.83亿份，占总份额的51.70%，个人投资者持有8.25亿份，占总份额的48.30%,医药
513380,广发恒生科技(QDI,指数型,85.60%,14.40%,119.03 亿,截至2025-06-30，广发恒生科技(QDII-ETF) 的基金机构持有66.44亿份，占总份额的85.60%，个人投资者持有11.18亿份，占总份额的14.40%,QDII
159636,工银瑞信国证港股通科,指数型,97.64%,2.36%,348.18 亿,截至2025-06-30，工银瑞信国证港股通科技30ETF 的基金机构持有173.31亿份，占总份额的97.64%，个人投资者持有4.19亿份，占总份额的2.36%,科技
513770,华宝中证港股通互联网,指数型,88.99%,11.01%,123.43 亿,截至2025-06-30，华宝中证港股通互联网ETF 的基金机构持有43.88亿份，占总份额的88.99%，个人投资者持有5.43亿份，占总份额的11.01%,互联网
